epoch,accuracy,categorical_accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.46398746967315674,0.46398746967315674,1.0417665243148804,1e-04,0.7844467759132385,0.40308642387390137,0.40308642387390137,1.1127208471298218,0.7345679402351379
1,0.4947808086872101,0.4947808086872101,0.9779248237609863,1e-04,0.8150660991668701,0.4802469313144684,0.4802469313144684,0.996889591217041,0.790123462677002
2,0.5229645371437073,0.5229645371437073,0.9441810846328735,1e-04,0.8389005064964294,0.4987654685974121,0.4987654685974121,1.0033096075057983,0.7981481552124023
3,0.531315267086029,0.531315267086029,0.9326115250587463,1e-04,0.8418580293655396,0.5123457312583923,0.5123457312583923,0.982577383518219,0.819753110408783
4,0.5389701128005981,0.5389701128005981,0.912712037563324,1e-04,0.8533403277397156,0.5141975283622742,0.5141975283622742,0.9791992902755737,0.7944445013999939
5,0.5429714918136597,0.5429714918136597,0.9026803970336914,1e-04,0.8582115769386292,0.5104938745498657,0.5104938745498657,0.9250885248184204,0.8302469253540039
6,0.5607168078422546,0.5607168078422546,0.8838557004928589,1e-04,0.8632568120956421,0.45000001788139343,0.45000001788139343,1.256300449371338,0.7419753670692444
7,0.5725469589233398,0.5725469589233398,0.8664878010749817,1e-04,0.8698678016662598,0.49629631638526917,0.49629631638526917,1.0364570617675781,0.8080247044563293
8,0.5655880570411682,0.5655880570411682,0.8682190179824829,1e-04,0.8740431666374207,0.549382746219635,0.549382746219635,0.9004569053649902,0.8512346148490906
